# --------------------------------------------------
SERP Analysis,trending crypto
Volume Range,11 - 50
Keyword Difficulty,47
Organic CTR,64
Combined Score,38
Analysis Date,2021-08-19
Export Date,2021-08-19
# --------------------------------------------------


Rank,Type,Enhancements,Column,URL,Title,PA,Referring Domains to Page,DA,Referring Domains to Domain
0,Knowledge Card,n/a,Main,n/a,n/a,n/a,n/a,n/a,n/a
1,Organic,n/a,Main,https://coinmarketcap.com/trending-cryptocurrencies/,What Are The Trending Cryptocurrencies On CoinMarketCap?,50,48,86,61091
2,Organic,n/a,Main,https://www.worldcoinindex.com/trending,Trending crypto coins - WorldCoinIndex.com,38,43,53,3643
3,Organic,n/a,Main,https://cointracking.info/coin_trends.php,Coin Trends - CoinTracking,42,101,48,2896
4,Organic,n/a,Main,https://www.tradingview.com/markets/cryptocurrencies/prices-all/,Cryptocurrency Market - Prices - TradingView,59,1135,84,47965
5,Organic,n/a,Main,https://www.nasdaq.com/articles/decoding-crypto%3A-the-10-most-popular-cryptocurrencies-2021-08-05,Decoding Crypto: The 10 Most Popular Cryptocurrencies,41,1,89,117595
6,Organic,n/a,Main,https://time.com/nextadvisor/investing/cryptocurrency/types-of-cryptocurrency/,Most Popular Types of Cryptocurrency | NextAdvisor with TIME,61,153,94,687301
7,Organic,n/a,Main,https://www.coingecko.com/en/coins/trending,Large Mover Coins | CoinGecko,44,29,66,19454
8,Organic,n/a,Main,https://www.cnbc.com/2021/07/12/wazirx-founder-shares-his-prediction-for-the-next-big-wave-of-crypto.html,"This Could Be the Next Big Crypto Trend, Says Indian Digital ...",58,83,93,456641
9,Organic,n/a,Main,https://trends.google.com/trends/explore?q=%2Fm%2F0vpj4_b,Google Trends,39,1,92,100720
10,Organic,n/a,Main,https://www.coinbase.com/price,"Cryptocurrency Prices, Charts, Daily Trends, Market Cap",60,2430,88,76146
