,date,id,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,code_additions_deletions_4_weeks,commit_count_4_weeks
0,29-07-2021,bitcoin,29494.0,55888.0,3836.0,6357.0,5757.0,8819.0,738.0,"{'additions': 2365, 'deletions': -1317}",266.0
1,28-07-2021,bitcoin,29485.0,55854.0,3835.0,6359.0,5761.0,8812.0,737.0,"{'additions': 2198, 'deletions': -1227}",238.0
2,27-07-2021,bitcoin,29476.0,55832.0,3833.0,6358.0,5761.0,8811.0,737.0,"{'additions': 2195, 'deletions': -1225}",244.0
3,26-07-2021,bitcoin,,,,,,,,"{'additions': None, 'deletions': None}",
4,25-07-2021,bitcoin,,,,,,,,"{'additions': None, 'deletions': None}",
5,24-07-2021,bitcoin,29452.0,55769.0,3827.0,6352.0,5759.0,8804.0,735.0,"{'additions': 5080, 'deletions': -3467}",256.0
6,23-07-2021,bitcoin,29445.0,55752.0,3829.0,6349.0,5759.0,8803.0,735.0,"{'additions': 5080, 'deletions': -3466}",257.0
7,22-07-2021,bitcoin,29439.0,55750.0,3829.0,6349.0,5757.0,8800.0,735.0,"{'additions': 5044, 'deletions': -3422}",251.0
8,21-07-2021,bitcoin,,,,,,,,"{'additions': None, 'deletions': None}",
9,20-07-2021,bitcoin,29428.0,55689.0,3826.0,6345.0,5753.0,8788.0,734.0,"{'additions': 3253, 'deletions': -2394}",243.0
10,19-07-2021,bitcoin,29425.0,55681.0,3826.0,6343.0,5751.0,8784.0,734.0,"{'additions': 3253, 'deletions': -2394}",233.0
11,18-07-2021,bitcoin,29418.0,55657.0,3827.0,6339.0,5746.0,8782.0,734.0,"{'additions': 3034, 'deletions': -2333}",240.0
12,17-07-2021,bitcoin,29417.0,55648.0,3828.0,6337.0,5743.0,8778.0,733.0,"{'additions': 3809, 'deletions': -2404}",225.0
13,16-07-2021,bitcoin,29398.0,55621.0,3827.0,6330.0,5738.0,8777.0,733.0,"{'additions': 3807, 'deletions': -2403}",243.0
14,15-07-2021,bitcoin,,,,,,,,"{'additions': None, 'deletions': None}",
15,14-07-2021,bitcoin,29379.0,55594.0,3827.0,6323.0,5738.0,8769.0,732.0,"{'additions': 3466, 'deletions': -2260}",239.0
16,13-07-2021,bitcoin,29375.0,55584.0,3828.0,6321.0,5738.0,8769.0,732.0,"{'additions': 3466, 'deletions': -2260}",242.0
17,12-07-2021,bitcoin,29371.0,55570.0,3827.0,6320.0,5736.0,8769.0,732.0,"{'additions': 3182, 'deletions': -2260}",238.0
