,date,id,price,market_cap,total_volume
0,29-07-2021,bitcoin,40031.19824444798,751371299910.5153,41369107422.717026
1,28-07-2021,bitcoin,39076.59377063225,732311951673.3547,36401287454.43055
2,27-07-2021,bitcoin,37281.91809217662,701921012034.6644,53550491997.72306
3,26-07-2021,bitcoin,35456.124660766836,664681184168.7764,20929083220.53677
4,25-07-2021,bitcoin,34213.59993217662,642012590040.6406,22120323672.367214
5,24-07-2021,bitcoin,33455.55127272261,627747173675.4332,22937379734.633812
6,23-07-2021,bitcoin,32409.499767175417,607621607805.3499,19741588059.45234
7,22-07-2021,bitcoin,32383.78112696872,605357009416.7555,29070652059.995018
8,21-07-2021,bitcoin,29971.903783612062,561743228116.5483,23000299061.896305
9,20-07-2021,bitcoin,30928.211908849244,580252472382.7122,20095540828.295692
10,19-07-2021,bitcoin,31919.393922554555,597872278369.1111,17742105807.895496
11,18-07-2021,bitcoin,31588.6713510167,592581931071.2119,17715455994.789402
12,17-07-2021,bitcoin,31399.653128682126,588495008675.5178,22671859962.66356
13,16-07-2021,bitcoin,31726.038833909817,595342431373.8641,21557729227.284348
14,15-07-2021,bitcoin,32878.50187357147,616691143979.958,21779069066.445965
15,14-07-2021,bitcoin,32676.38380096018,613002045101.37,19932531699.624603
16,13-07-2021,bitcoin,33262.6543524462,623350567666.981,21683885320.611263
17,12-07-2021,bitcoin,34299.938016517444,643335853171.1349,17798828844.27227
18,11-07-2021,bitcoin,33704.53847440508,632185737683.1548,20558304483.59407
19,10-07-2021,bitcoin,33971.297749757956,637000370375.4657,24282108111.21572
20,09-07-2021,bitcoin,32933.578199292395,617861633771.9894,29065577052.29722
21,08-07-2021,bitcoin,33932.25463831538,636246944189.2604,23692220470.135063
22,07-07-2021,bitcoin,34149.98981477412,640405812761.686,26106856611.92326
23,06-07-2021,bitcoin,33928.13421837147,636061920914.8282,25894820184.74507
24,05-07-2021,bitcoin,35394.213074080915,663571591568.1959,22727930417.748825
25,04-07-2021,bitcoin,34729.89077801021,650382046624.6503,22986053604.70427
26,03-07-2021,bitcoin,33950.786555181,633684390025.5607,25084046353.169456
27,02-07-2021,bitcoin,33677.566235922626,629863895571.7473,29129630236.14075
28,01-07-2021,bitcoin,35171.486304850056,660200427590.4775,31024153846.878517
29,30-06-2021,bitcoin,35968.993667970346,674231340724.4149,35121257875.54662
30,29-06-2021,bitcoin,34556.8421269449,647741224116.9337,32453802891.01519
31,28-06-2021,bitcoin,34607.293274083386,649262127990.3759,34335452117.32629
32,27-06-2021,bitcoin,32023.973901774916,600235334320.8247,36873109419.90242
33,26-06-2021,bitcoin,31943.136467863093,598703019611.4526,38635245431.3565
34,25-06-2021,bitcoin,34675.44910530336,650340461975.8141,31862051544.349895
35,24-06-2021,bitcoin,33702.61779371396,631634847766.2311,39798236962.44067
36,23-06-2021,bitcoin,32507.738707026845,606580031922.7239,57443014757.92467
37,22-06-2021,bitcoin,31711.935467727006,598335733135.868,51873870276.52254
38,21-06-2021,bitcoin,35787.07740523232,670634370556.6146,35609127163.62243
39,20-06-2021,bitcoin,35581.64226773201,666901325910.3705,28858979691.78587
40,19-06-2021,bitcoin,35881.11137137543,673761687974.4922,35162612172.75275
41,18-06-2021,bitcoin,38193.619141943964,715652442155.1261,36330237284.41833
42,17-06-2021,bitcoin,38321.454656574206,718016373177.285,36563438889.78541
43,16-06-2021,bitcoin,40378.20254971114,756522207420.3483,36706248352.237144
44,15-06-2021,bitcoin,40624.51305316154,761104314502.2867,45836408439.45157
45,14-06-2021,bitcoin,39147.70567879997,733402631079.1185,38185633278.287155
46,13-06-2021,bitcoin,35666.14977877309,668148892256.3638,35710196743.32056
47,12-06-2021,bitcoin,37289.43252210222,698528023663.5321,36358044262.709755
48,11-06-2021,bitcoin,36903.304906778896,691681868464.4717,42952476854.83458
