,date,id,alexa_rank,bing_matches
0,29-07-2021,bitcoin,6058,
1,28-07-2021,bitcoin,6058,
2,27-07-2021,bitcoin,6058,
3,26-07-2021,bitcoin,6058,
4,25-07-2021,bitcoin,6058,
5,24-07-2021,bitcoin,6058,
6,23-07-2021,bitcoin,6058,
7,22-07-2021,bitcoin,6058,
8,21-07-2021,bitcoin,6058,
9,20-07-2021,bitcoin,6058,
10,19-07-2021,bitcoin,6058,
11,18-07-2021,bitcoin,6058,
12,17-07-2021,bitcoin,6058,
13,16-07-2021,bitcoin,6058,
14,15-07-2021,bitcoin,5487,
15,14-07-2021,bitcoin,5487,
16,13-07-2021,bitcoin,5487,
17,12-07-2021,bitcoin,5487,
18,11-07-2021,bitcoin,5487,
19,10-07-2021,bitcoin,5487,
20,09-07-2021,bitcoin,5487,
21,08-07-2021,bitcoin,5487,
22,07-07-2021,bitcoin,5487,
23,06-07-2021,bitcoin,5487,
24,05-07-2021,bitcoin,5487,
25,04-07-2021,bitcoin,5487,
26,03-07-2021,bitcoin,5487,
27,02-07-2021,bitcoin,5487,
28,01-07-2021,bitcoin,5487,
29,30-06-2021,bitcoin,5208,
30,29-06-2021,bitcoin,5208,
31,28-06-2021,bitcoin,5208,
32,27-06-2021,bitcoin,5208,
33,26-06-2021,bitcoin,5208,
34,25-06-2021,bitcoin,5208,
35,24-06-2021,bitcoin,5208,
36,23-06-2021,bitcoin,5208,
37,22-06-2021,bitcoin,5208,
38,21-06-2021,bitcoin,5208,
39,20-06-2021,bitcoin,5208,
40,19-06-2021,bitcoin,5208,
41,18-06-2021,bitcoin,5208,
42,17-06-2021,bitcoin,5208,
43,16-06-2021,bitcoin,5208,
44,15-06-2021,bitcoin,4989,
45,14-06-2021,bitcoin,4989,
46,13-06-2021,bitcoin,4989,
47,12-06-2021,bitcoin,4989,
48,11-06-2021,bitcoin,4989,
49,10-06-2021,bitcoin,4989,
50,09-06-2021,bitcoin,4989,
51,08-06-2021,bitcoin,4989,
52,07-06-2021,bitcoin,4989,
53,06-06-2021,bitcoin,4989,
54,05-06-2021,bitcoin,4989,
55,04-06-2021,bitcoin,4989,
56,03-06-2021,bitcoin,4989,
57,02-06-2021,bitcoin,4989,
58,01-06-2021,bitcoin,4989,
59,31-05-2021,bitcoin,4958,
60,30-05-2021,bitcoin,4866,
61,29-05-2021,bitcoin,4866,
62,28-05-2021,bitcoin,4866,
63,27-05-2021,bitcoin,4866,
64,26-05-2021,bitcoin,4866,
65,25-05-2021,bitcoin,4866,
66,24-05-2021,bitcoin,4866,
67,23-05-2021,bitcoin,4866,
68,22-05-2021,bitcoin,4866,
69,21-05-2021,bitcoin,4866,
70,20-05-2021,bitcoin,4866,
71,19-05-2021,bitcoin,4866,
72,18-05-2021,bitcoin,4866,
73,17-05-2021,bitcoin,4866,
74,16-05-2021,bitcoin,4866,
75,15-05-2021,bitcoin,5071,
76,14-05-2021,bitcoin,5071,
77,13-05-2021,bitcoin,5071,
78,12-05-2021,bitcoin,5071,
79,11-05-2021,bitcoin,5071,
80,10-05-2021,bitcoin,5071,
81,09-05-2021,bitcoin,5071,
82,08-05-2021,bitcoin,5071,
83,07-05-2021,bitcoin,5071,
84,06-05-2021,bitcoin,5071,
85,05-05-2021,bitcoin,5071,
86,04-05-2021,bitcoin,5071,
87,03-05-2021,bitcoin,5071,
88,02-05-2021,bitcoin,5071,
89,01-05-2021,bitcoin,5071,
90,30-04-2021,bitcoin,4955,
91,29-04-2021,bitcoin,4955,
92,28-04-2021,bitcoin,4955,
93,27-04-2021,bitcoin,4955,
94,26-04-2021,bitcoin,4955,
95,25-04-2021,bitcoin,4955,
96,24-04-2021,bitcoin,4955,
97,23-04-2021,bitcoin,4955,
98,22-04-2021,bitcoin,4955,
99,21-04-2021,bitcoin,4955,
100,20-04-2021,bitcoin,4955,
101,19-04-2021,bitcoin,4955,
102,18-04-2021,bitcoin,4955,
103,17-04-2021,bitcoin,4955,
104,16-04-2021,bitcoin,4955,
105,15-04-2021,bitcoin,5018,
106,14-04-2021,bitcoin,5018,
107,13-04-2021,bitcoin,5018,
108,12-04-2021,bitcoin,5018,
109,11-04-2021,bitcoin,5018,
110,10-04-2021,bitcoin,5018,
111,09-04-2021,bitcoin,5018,
112,08-04-2021,bitcoin,5018,
113,07-04-2021,bitcoin,5018,
114,06-04-2021,bitcoin,5018,
115,05-04-2021,bitcoin,5018,
116,04-04-2021,bitcoin,5018,
117,03-04-2021,bitcoin,5018,
118,02-04-2021,bitcoin,5018,
119,01-04-2021,bitcoin,5018,
120,31-03-2021,bitcoin,5008,
121,30-03-2021,bitcoin,5036,
122,29-03-2021,bitcoin,5036,
123,28-03-2021,bitcoin,5036,
124,27-03-2021,bitcoin,5036,
125,26-03-2021,bitcoin,5036,
126,25-03-2021,bitcoin,5036,
127,24-03-2021,bitcoin,5036,
128,23-03-2021,bitcoin,5036,
129,22-03-2021,bitcoin,5036,
130,21-03-2021,bitcoin,5036,
131,20-03-2021,bitcoin,5036,
132,19-03-2021,bitcoin,5036,
133,18-03-2021,bitcoin,5036,
134,17-03-2021,bitcoin,5036,
135,16-03-2021,bitcoin,5036,
136,15-03-2021,bitcoin,5495,
137,14-03-2021,bitcoin,5495,
138,13-03-2021,bitcoin,5495,
139,12-03-2021,bitcoin,5495,
140,11-03-2021,bitcoin,5495,
141,10-03-2021,bitcoin,5495,
142,09-03-2021,bitcoin,5495,
143,08-03-2021,bitcoin,5495,
144,07-03-2021,bitcoin,5495,
145,06-03-2021,bitcoin,5495,
146,05-03-2021,bitcoin,5495,
147,04-03-2021,bitcoin,5495,
148,03-03-2021,bitcoin,5495,
149,02-03-2021,bitcoin,5495,
150,01-03-2021,bitcoin,5495,
151,28-02-2021,bitcoin,5869,
152,27-02-2021,bitcoin,5869,
153,26-02-2021,bitcoin,5869,
154,25-02-2021,bitcoin,5869,
155,24-02-2021,bitcoin,5869,
156,23-02-2021,bitcoin,5869,
157,22-02-2021,bitcoin,5869,
158,21-02-2021,bitcoin,5869,
159,20-02-2021,bitcoin,5869,
160,19-02-2021,bitcoin,5869,
161,18-02-2021,bitcoin,5869,
162,17-02-2021,bitcoin,5869,
163,16-02-2021,bitcoin,5869,
164,15-02-2021,bitcoin,6373,
165,14-02-2021,bitcoin,6373,
166,13-02-2021,bitcoin,6373,
167,12-02-2021,bitcoin,6373,
168,11-02-2021,bitcoin,6373,
169,10-02-2021,bitcoin,6373,
170,09-02-2021,bitcoin,6373,
171,08-02-2021,bitcoin,6373,
172,07-02-2021,bitcoin,6373,
173,06-02-2021,bitcoin,6373,
174,05-02-2021,bitcoin,6373,
175,04-02-2021,bitcoin,6373,
176,03-02-2021,bitcoin,6373,
