,date,id,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,code_additions_deletions_4_weeks,commit_count_4_weeks
0,29-07-2021,ethereum,,,,,,,,"{'additions': None, 'deletions': None}",
1,28-07-2021,ethereum,11594.0,31582.0,2111.0,5735.0,5511.0,3860.0,549.0,"{'additions': 1015, 'deletions': -657}",47.0
2,27-07-2021,ethereum,,,,,,,,"{'additions': None, 'deletions': None}",
3,26-07-2021,ethereum,11583.0,31545.0,2111.0,5726.0,5502.0,3853.0,548.0,"{'additions': 866, 'deletions': -613}",50.0
4,25-07-2021,ethereum,,,,,,,,"{'additions': None, 'deletions': None}",
5,24-07-2021,ethereum,,,,,,,,"{'additions': None, 'deletions': None}",
6,23-07-2021,ethereum,,,,,,,,"{'additions': None, 'deletions': None}",
7,22-07-2021,ethereum,11563.0,31503.0,2107.0,5711.0,5494.0,3851.0,548.0,"{'additions': 1864, 'deletions': -798}",53.0
8,21-07-2021,ethereum,11558.0,31488.0,2106.0,5709.0,5491.0,3851.0,548.0,"{'additions': 1864, 'deletions': -798}",53.0
9,20-07-2021,ethereum,11549.0,31479.0,2106.0,5707.0,5490.0,3851.0,548.0,"{'additions': 2107, 'deletions': -910}",60.0
10,19-07-2021,ethereum,,,,,,,,"{'additions': None, 'deletions': None}",
11,18-07-2021,ethereum,11543.0,31450.0,2106.0,5702.0,5489.0,3851.0,548.0,"{'additions': 2107, 'deletions': -910}",68.0
12,17-07-2021,ethereum,11539.0,31444.0,2106.0,5701.0,5489.0,3851.0,548.0,"{'additions': 2107, 'deletions': -910}",68.0
13,16-07-2021,ethereum,,,,,,,,"{'additions': None, 'deletions': None}",
14,15-07-2021,ethereum,11520.0,31426.0,2105.0,5697.0,5487.0,3850.0,548.0,"{'additions': 2103, 'deletions': -909}",73.0
15,14-07-2021,ethereum,11511.0,31407.0,2106.0,5693.0,5482.0,3846.0,547.0,"{'additions': 2081, 'deletions': -764}",82.0
