,date,id,alexa_rank,bing_matches
0,29-07-2021,ethereum,3522,
1,28-07-2021,ethereum,3522,
2,27-07-2021,ethereum,3522,
3,26-07-2021,ethereum,3522,
4,25-07-2021,ethereum,3522,
5,24-07-2021,ethereum,3522,
6,23-07-2021,ethereum,3522,
7,22-07-2021,ethereum,3522,
8,21-07-2021,ethereum,3522,
9,20-07-2021,ethereum,3522,
10,19-07-2021,ethereum,3522,
11,18-07-2021,ethereum,3522,
12,17-07-2021,ethereum,3522,
13,16-07-2021,ethereum,3522,
14,15-07-2021,ethereum,3687,
15,14-07-2021,ethereum,3687,
16,13-07-2021,ethereum,3687,
17,12-07-2021,ethereum,3687,
18,11-07-2021,ethereum,3687,
19,10-07-2021,ethereum,3687,
20,09-07-2021,ethereum,3687,
21,08-07-2021,ethereum,3687,
22,07-07-2021,ethereum,3687,
23,06-07-2021,ethereum,3687,
24,05-07-2021,ethereum,3687,
25,04-07-2021,ethereum,3687,
26,03-07-2021,ethereum,3687,
27,02-07-2021,ethereum,3687,
28,01-07-2021,ethereum,3687,
29,30-06-2021,ethereum,3750,
30,29-06-2021,ethereum,3750,
31,28-06-2021,ethereum,3750,
32,27-06-2021,ethereum,3750,
33,26-06-2021,ethereum,3750,
34,25-06-2021,ethereum,3750,
35,24-06-2021,ethereum,3750,
36,23-06-2021,ethereum,3750,
37,22-06-2021,ethereum,3750,
38,21-06-2021,ethereum,3750,
39,20-06-2021,ethereum,3750,
40,19-06-2021,ethereum,3750,
41,18-06-2021,ethereum,3750,
42,17-06-2021,ethereum,3750,
43,16-06-2021,ethereum,3750,
44,15-06-2021,ethereum,4018,
45,14-06-2021,ethereum,4018,
46,13-06-2021,ethereum,4018,
47,12-06-2021,ethereum,4018,
48,11-06-2021,ethereum,4018,
49,10-06-2021,ethereum,4018,
50,09-06-2021,ethereum,4018,
51,08-06-2021,ethereum,4018,
52,07-06-2021,ethereum,4018,
53,06-06-2021,ethereum,4018,
54,05-06-2021,ethereum,4018,
55,04-06-2021,ethereum,4018,
56,03-06-2021,ethereum,4018,
57,02-06-2021,ethereum,4018,
58,01-06-2021,ethereum,4018,
59,31-05-2021,ethereum,4023,
60,30-05-2021,ethereum,4259,
61,29-05-2021,ethereum,4259,
62,28-05-2021,ethereum,4259,
63,27-05-2021,ethereum,4259,
64,26-05-2021,ethereum,4259,
65,25-05-2021,ethereum,4259,
66,24-05-2021,ethereum,4259,
67,23-05-2021,ethereum,4259,
68,22-05-2021,ethereum,4259,
69,21-05-2021,ethereum,4259,
70,20-05-2021,ethereum,4259,
71,19-05-2021,ethereum,4259,
72,18-05-2021,ethereum,4259,
73,17-05-2021,ethereum,4259,
74,16-05-2021,ethereum,4259,
75,15-05-2021,ethereum,4856,
76,14-05-2021,ethereum,4856,
77,13-05-2021,ethereum,4856,
78,12-05-2021,ethereum,4856,
79,11-05-2021,ethereum,4856,
80,10-05-2021,ethereum,4856,
81,09-05-2021,ethereum,4856,
82,08-05-2021,ethereum,4856,
83,07-05-2021,ethereum,4856,
84,06-05-2021,ethereum,4856,
85,05-05-2021,ethereum,4856,
86,04-05-2021,ethereum,4856,
87,03-05-2021,ethereum,4856,
88,02-05-2021,ethereum,4856,
89,01-05-2021,ethereum,4856,
90,30-04-2021,ethereum,5558,
91,29-04-2021,ethereum,5558,
92,28-04-2021,ethereum,5558,
93,27-04-2021,ethereum,5558,
94,26-04-2021,ethereum,5558,
95,25-04-2021,ethereum,5558,
96,24-04-2021,ethereum,5558,
97,23-04-2021,ethereum,5558,
98,22-04-2021,ethereum,5558,
99,21-04-2021,ethereum,5558,
100,20-04-2021,ethereum,5558,
101,19-04-2021,ethereum,5558,
102,18-04-2021,ethereum,5558,
103,17-04-2021,ethereum,5558,
104,16-04-2021,ethereum,5558,
105,15-04-2021,ethereum,6152,
106,14-04-2021,ethereum,6152,
107,13-04-2021,ethereum,6152,
108,12-04-2021,ethereum,6152,
109,11-04-2021,ethereum,6152,
110,10-04-2021,ethereum,6152,
111,09-04-2021,ethereum,6152,
112,08-04-2021,ethereum,6152,
113,07-04-2021,ethereum,6152,
114,06-04-2021,ethereum,6152,
115,05-04-2021,ethereum,6152,
116,04-04-2021,ethereum,6152,
117,03-04-2021,ethereum,6152,
118,02-04-2021,ethereum,6152,
119,01-04-2021,ethereum,6152,
120,31-03-2021,ethereum,6102,
121,30-03-2021,ethereum,6707,
122,29-03-2021,ethereum,6707,
123,28-03-2021,ethereum,6707,
124,27-03-2021,ethereum,6707,
125,26-03-2021,ethereum,6707,
126,25-03-2021,ethereum,6707,
127,24-03-2021,ethereum,6707,
128,23-03-2021,ethereum,6707,
129,22-03-2021,ethereum,6707,
130,21-03-2021,ethereum,6707,
131,20-03-2021,ethereum,6707,
132,19-03-2021,ethereum,6707,
133,18-03-2021,ethereum,6707,
134,17-03-2021,ethereum,6707,
135,16-03-2021,ethereum,6707,
