,id,symbol,price_04-22-21,market_cap_billion(2021),market_cap_rank,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
0,bitcoin,btc,53772.0,1005.092310533,1,64805.0,-17.26683,2021-04-14T11:54:46.763Z,67.81,78967.67369,2013-07-06T00:00:00.000Z
1,ethereum,eth,2492.75,287.341675492,2,2640.37,-5.88264,2021-04-22T16:34:50.091Z,0.432979,573841.43049,2015-10-20T00:00:00.000Z
2,binancecoin,bnb,536.12,82.651828936,3,610.06,-12.32816,2021-04-12T09:32:32.635Z,0.0398177,1343138.90127,2017-10-19T00:00:00.000Z
3,ripple,xrp,1.24,56.98927683,4,3.4,-63.72544,2018-01-07T00:00:00.000Z,0.00268621,45792.70403,2014-05-22T00:00:00.000Z
4,tether,usdt,1.0,50.183832489,5,1.32,-24.36604,2018-07-24T00:00:00.000Z,0.572521,74.79,2015-03-02T00:00:00.000Z
5,cardano,ada,1.23,39.148541047,6,1.55,-21.06093,2021-04-14T08:44:43.794Z,0.01925275,6244.36358,2020-03-13T02:22:55.044Z
6,dogecoin,doge,0.272198,35.208472678,7,0.418888,-35.12714,2021-04-20T08:20:15.945Z,8.69e-05,312596.31512,2015-05-06T00:00:00.000Z
7,polkadot,dot,32.64,32.139517441,8,47.63,-31.67533,2021-04-17T10:04:11.809Z,2.7,1106.57136,2020-08-20T05:48:11.359Z
8,uniswap,uni,35.76,18.456411256,9,39.21,-9.41587,2021-04-15T13:44:50.549Z,1.03,3348.00646,2020-09-17T01:20:38.214Z
9,litecoin,ltc,241.67,16.131789146,10,360.66,-33.23367,2017-12-18T00:00:00.000Z,1.15,20860.12573,2015-01-14T00:00:00.000Z
10,bitcoin-cash,bch,829.07,15.487036341,11,3785.82,-78.1468,2017-12-20T00:00:00.000Z,76.93,975.35571,2018-12-16T00:00:00.000Z
11,chainlink,link,34.53,14.519167568,12,44.15,-22.06728,2021-04-15T16:02:06.224Z,0.148183,23117.86103,2017-11-29T00:00:00.000Z
12,usd-coin,usdc,1.0,13.589072085,13,1.17,-14.79669,2019-05-08T00:40:28.300Z,0.924188,8.11489,2020-08-02T04:44:57.506Z
13,solana,sol,46.66,12.627284481,14,48.46,-3.51883,2021-04-25T23:29:52.451Z,0.500801,9236.79943,2020-05-11T19:35:23.449Z
14,vechain,vet,0.189038,12.245895351,15,0.280991,-32.92016,2021-04-19T01:08:21.675Z,0.00191713,9731.78336,2020-03-13T02:29:59.652Z
15,theta-token,theta,10.9,10.854082854,16,15.72,-30.95243,2021-04-16T13:15:11.190Z,0.04039979,26766.67831,2020-03-13T02:24:16.483Z
16,stellar,xlm,0.464524,10.646135698,17,0.875563,-47.15705,2018-01-03T00:00:00.000Z,0.00047612,97075.09421,2015-03-05T00:00:00.000Z
17,filecoin,fil,144.25,9.813597578,18,236.84,-39.32787,2021-04-01T13:29:41.564Z,20.06,616.34568,2020-12-29T22:32:28.483Z
18,wrapped-bitcoin,wbtc,53697.0,8.409099902,19,64565.0,-17.00969,2021-04-14T12:00:05.340Z,3139.17,1606.91076,2019-04-02T00:00:00.000Z
19,tron,trx,0.113007,8.078144858,20,0.231673,-51.34152,2018-01-05T00:00:00.000Z,0.00180434,6147.62175,2017-11-12T00:00:00.000Z
20,binance-usd,busd,0.998658,7.182741912,21,1.15,-13.59166,2020-03-13T02:35:42.953Z,0.906729,9.9919,2020-03-12T23:35:12.774Z
21,monero,xmr,377.28,6.751717901,22,542.33,-30.81478,2018-01-09T00:00:00.000Z,0.216177,173465.94881,2015-01-14T00:00:00.000Z
22,terra-luna,luna,17.47,6.488411094,23,22.36,-22.60399,2021-03-21T11:59:15.174Z,0.121798,14106.66003,2020-03-18T17:03:01.083Z
23,neo,neo,87.4,6.133215133,24,198.38,-56.16576,2018-01-15T00:00:00.000Z,0.078349,110888.6681,2016-10-21T00:00:00.000Z
24,klay-token,klay,2.48,6.091331535,25,4.34,-42.88521,2021-03-30T03:44:28.828Z,0.06044,4000.22839,2020-04-29T08:19:34.574Z
25,iota,miota,1.96,5.423001806,26,5.25,-62.8285,2017-12-19T00:00:00.000Z,0.081637,2289.89774,2020-03-13T02:22:41.168Z
26,pancakeswap-token,cake,33.13,5.315095001,27,34.67,-4.81177,2021-04-26T06:44:41.481Z,0.194441,16871.56569,2020-11-03T14:29:34.165Z
27,eos,eos,5.57,5.307705762,28,22.71,-75.55939,2018-04-29T07:50:33.540Z,0.5024,1004.85132,2017-10-23T00:00:00.000Z
28,aave,aave,397.7,4.975622389,29,575.15,-30.82017,2021-02-10T06:12:13.409Z,26.02,1428.99567,2020-11-05T09:20:11.928Z
29,cosmos,atom,20.51,4.882045791,30,28.32,-27.72357,2021-04-15T00:33:44.560Z,1.16,1664.36616,2020-03-13T02:27:44.591Z
30,bitcoin-cash-sv,bsv,255.71,4.75282102,31,489.75,-48.13521,2021-04-16T17:09:04.630Z,42.02,504.53246,2018-11-23T00:00:00.000Z
31,crypto-com-chain,cro,0.18747,4.722407077,32,0.27702,-32.52123,2021-02-22T11:33:57.751Z,0.0121196,1442.3753,2019-02-08T00:00:00.000Z
32,bittorrent-2,btt,0.0070536,4.639644683,33,0.01356626,-48.09355,2021-04-05T04:09:06.433Z,0.00013814,4997.45141,2020-03-13T02:22:57.629Z
33,okb,okb,17.19,4.62106179,34,24.56,-30.18381,2021-04-12T05:00:27.307Z,0.580608,2853.85274,2019-01-14T00:00:00.000Z
34,compound-usd-coin,cusdc,0.02194937,4.510392993,35,0.058843,-62.75202,2020-10-21T11:24:27.820Z,0.00620705,253.11404,2021-03-04T08:11:37.438Z
35,ftx-token,ftt,50.95,4.478413848,36,59.32,-14.34932,2021-04-14T17:34:57.878Z,1.15,4318.88305,2019-09-06T00:00:00.000Z
36,compound-ether,ceth,49.99,4.028932605,37,52.75,-5.59926,2021-04-22T16:40:32.149Z,1.89,2539.88542,2020-03-13T02:22:33.711Z
37,ethereum-classic,etc,31.7,4.00105133,38,48.24,-34.44278,2021-04-17T04:55:11.710Z,0.615038,5042.43438,2016-07-25T00:00:00.000Z
38,tezos,xtz,5.09,3.88572444,39,7.64,-33.74884,2021-04-17T08:05:22.830Z,0.350476,1344.11247,2018-12-07T00:00:00.000Z
39,maker,mkr,3982.05,3.579120767,40,4921.2,-19.34118,2021-04-22T07:12:41.260Z,168.36,2257.708,2020-03-16T20:52:36.527Z
40,algorand,algo,1.21,3.551892486,41,3.56,-66.03275,2019-06-20T14:51:19.480Z,0.105336,1048.35553,2020-03-13T02:20:48.438Z
41,dai,dai,1.0,3.48134256,42,1.22,-17.95993,2020-03-13T03:02:50.373Z,0.903243,10.71343,2019-11-25T00:04:18.137Z
42,cdai,cdai,0.02140901,3.328101163,43,0.03159087,-32.32598,2020-10-12T21:29:00.007Z,0.00728854,193.32073,2020-03-18T04:29:40.819Z
43,kusama,ksm,373.06,3.313464113,44,566.41,-34.85682,2021-03-29T12:24:40.358Z,0.876572,41993.34464,2020-01-14T19:20:20.768Z
44,huobi-token,ht,18.13,3.256259721,45,26.75,-32.09788,2021-02-20T00:07:23.060Z,0.90862,1898.89807,2019-01-30T00:00:00.000Z
